Year,Market cap ($B),Revenue ($B),Earnings ($B)
2022,193.01,23.18,7.82
2021,200.31,23.22,9.12
2020,159.88,19.2,6.14
2019,147.47,21.28,8.01
2018,136.21,21.02,7.81
2017,137.21,22.82,8.57
2016,101.08,24.62,6.86
2015,107.12,25.41,6.55
2014,90.22,27.44,7.37
2013,96.09,28.1,8.2
2012,88.44,27.56,8.07
2011,102.65,27.0,8.01
2010,80.87,24.07,7.0
2009,67.22,22.74,6.48
2008,69.31,23.52,6.15
2007,67.84,22.78,3.57
2006,53.36,20.81,3.88
2005,42.59,20.46,3.7
2004,40.71,19.06,3.2
2003,31.33,17.14,2.34
2002,20.39,15.4,1.66
